max,min,wind,rain,humidi,cloud,day,month,year,label,,,
29,22,6,18.5,89,68,1,1,2009,Moderate or heavy rain shower,,,
28,22,9,1.8,83,62,2,1,2009,Heavy rain at times,,,
25,22,6,7.2,87,68,3,1,2009,Heavy rain at times,,,
29,21,4,0.5,83,40,4,1,2009,Sunny,,,
31,21,5,0,77,29,5,1,2009,Sunny,,,
32,22,5,0.3,77,29,6,1,2009,Sunny,,,
32,23,5,3.8,81,26,7,1,2009,Sunny,,,
31,22,7,0,74,14,8,1,2009,Sunny,,,
32,20,12,0,66,5,9,1,2009,Sunny,,,
28,18,11,0,66,26,10,1,2009,Cloudy,,,
28,18,9,0,69,26,11,1,2009,Sunny,,,
29,19,5,0,69,40,12,1,2009,Cloudy,,,
29,21,10,0,63,23,13,1,2009,Sunny,,,
30,18,9,0,64,11,14,1,2009,Sunny,,,
30,18,8,0,65,20,15,1,2009,Cloudy,,,
31,20,6,0,67,12,16,1,2009,Sunny,,,
35,20,6,0,66,6,17,1,2009,Sunny,,,
35,21,5,0,68,12,18,1,2009,Sunny,,,
36,22,6,0,66,4,19,1,2009,Sunny,,,
36,22,6,0,67,2,20,1,2009,Sunny,,,
36,21,5,0,64,9,21,1,2009,Sunny,,,
34,23,4,0,67,27,22,1,2009,Cloudy,,,
29,24,6,0.2,75,44,23,1,2009,Cloudy,,,
29,24,7,0.1,72,63,24,1,2009,Moderate or heavy rain shower,,,
33,24,6,0,65,40,25,1,2009,Sunny,,,
35,23,4,0,63,26,26,1,2009,Sunny,,,
34,24,6,0,62,16,27,1,2009,Sunny,,,
34,23,6,0,60,7,28,1,2009,Sunny,,,
35,22,7,0,60,6,29,1,2009,Sunny,,,
35,22,5,0,62,8,30,1,2009,Sunny,,,
36,24,8,0,62,3,31,1,2009,Sunny,,,
35,23,7,0,62,5,1,2,2009,Sunny,,,
34,22,6,0,58,11,2,2,2009,Sunny,,,
33,23,6,0,65,32,3,2,2009,Cloudy,,,
33,23,7,0,64,20,4,2,2009,Sunny,,,
34,22,7,0,65,26,5,2,2009,Sunny,,,
36,22,7,0,55,11,6,2,2009,Sunny,,,
36,22,7,0,57,15,7,2,2009,Sunny,,,
35,23,5,0,57,13,8,2,2009,Sunny,,,
35,22,6,0,61,25,9,2,2009,Sunny,,,
32,25,5,6,72,71,10,2,2009,Heavy rain at times,,,
27,24,4,7.9,86,66,11,2,2009,Moderate or heavy rain shower,,,
30,23,5,7.4,78,73,12,2,2009,Moderate or heavy rain shower,,,
35,23,5,0.8,71,47,13,2,2009,Heavy rain at times,,,
35,24,7,2.3,69,41,14,2,2009,Heavy rain at times,,,
28,25,6,4.7,85,50,15,2,2009,Heavy rain at times,,,
36,24,7,1.7,72,46,16,2,2009,Cloudy,,,
35,25,9,1.4,65,27,17,2,2009,Sunny,,,
35,26,8,0.2,64,35,18,2,2009,Heavy rain at times,,,
35,26,12,0,60,11,19,2,2009,Sunny,,,
36,26,8,0.2,61,24,20,2,2009,Heavy rain at times,,,
37,26,11,0,58,8,21,2,2009,Sunny,,,
37,26,9,0,56,22,22,2,2009,Sunny,,,
34,26,7,0,57,27,23,2,2009,Sunny,,,
37,26,9,1.1,57,15,24,2,2009,Sunny,,,
37,26,10,0.4,59,11,25,2,2009,Sunny,,,
35,28,10,0,55,28,26,2,2009,Sunny,,,
33,26,9,3.9,65,50,27,2,2009,Moderate or heavy rain shower,,,
28,24,5,14.6,82,61,28,2,2009,Heavy rain at times,,,
33,23,8,3.5,69,30,1,3,2009,Heavy rain at times,,,
35,25,10,0,60,17,2,3,2009,Sunny,,,
33,25,11,0,63,31,3,3,2009,Sunny,,,
35,26,9,1.2,64,39,4,3,2009,Heavy rain at times,,,
32,26,4,19.5,78,35,5,3,2009,Moderate or heavy rain shower,,,
32,26,6,17.1,80,26,6,3,2009,Moderate or heavy rain shower,,,
31,26,9,18.4,83,56,7,3,2009,Heavy rain at times,,,
32,24,9,11.6,80,38,8,3,2009,Heavy rain at times,,,
33,25,7,5.6,75,41,9,3,2009,Heavy rain at times,,,
37,26,9,0.5,62,13,10,3,2009,Sunny,,,
37,26,8,0.2,59,29,11,3,2009,Heavy rain at times,,,
36,27,8,0.3,60,31,12,3,2009,Sunny,,,
35,27,6,0,56,28,13,3,2009,Sunny,,,
33,27,6,0.3,60,36,14,3,2009,Heavy rain at times,,,
36,25,5,0.2,57,34,15,3,2009,Sunny,,,
34,26,5,0.2,57,48,16,3,2009,Heavy rain at times,,,
33,27,10,2.3,61,60,17,3,2009,Moderate or heavy rain shower,,,
35,27,10,2.6,64,33,18,3,2009,Heavy rain at times,,,
34,26,9,0,63,27,19,3,2009,Sunny,,,
36,26,12,0.1,61,13,20,3,2009,Sunny,,,
36,25,9,0,61,21,21,3,2009,Cloudy,,,
34,26,7,4.3,65,32,22,3,2009,Heavy rain at times,,,
34,26,7,0,61,34,23,3,2009,Cloudy,,,
35,27,8,0.1,59,43,24,3,2009,Heavy rain at times,,,
38,27,6,1.2,59,40,25,3,2009,Sunny,,,
35,27,10,0.1,57,26,26,3,2009,Heavy rain at times,,,
37,27,11,0,58,13,27,3,2009,Sunny,,,
35,26,6,2.2,63,36,28,3,2009,Sunny,,,
39,26,6,1.8,56,19,29,3,2009,Sunny,,,
37,27,8,0.7,56,30,30,3,2009,Heavy rain at times,,,
37,27,8,3.8,62,31,31,3,2009,Moderate or heavy rain shower,,,
34,26,7,5.5,65,40,1,4,2009,Moderate or heavy rain shower,,,
34,26,8,11.5,67,45,2,4,2009,Moderate or heavy rain shower,,,
34,26,8,16.5,72,34,3,4,2009,Moderate or heavy rain shower,,,
37,26,6,5.1,69,26,4,4,2009,Sunny,,,
34,27,8,17.5,75,29,5,4,2009,Moderate or heavy rain shower,,,
33,25,6,35.4,82,64,6,4,2009,Moderate or heavy rain shower,,,
32,25,6,9.3,75,44,7,4,2009,Moderate or heavy rain shower,,,
35,25,9,0.1,65,38,8,4,2009,Moderate or heavy rain shower,,,
33,26,9,4.9,67,33,9,4,2009,Heavy rain at times,,,
